150.000000,150.000000
0,149.521133,153.783905
1,149.211960,157.556839
2,149.042953,161.415298
3,149.179718,165.445740
4,149.712463,169.266190
5,150.441757,173.055145
6,151.374374,177.377930
7,152.499588,182.368790
8,153.687378,187.707016
9,155.245239,193.225967
10,157.414490,198.105911
11,160.438705,201.857224
12,163.179123,204.538361
13,165.039139,207.351242
14,166.221313,210.866455
15,167.603882,215.419769
16,169.889343,220.368134
17,172.385025,224.242996
18,174.977493,227.344666
19,178.205063,230.377213
20,181.585968,234.049026
21,184.473755,238.646851
22,185.616516,243.030258
23,185.139038,246.913040
24,183.848724,250.939148
25,182.574814,255.291595
26,181.544174,259.783417
27,180.663239,264.284973
28,178.992813,269.291107
48,183.363358,266.005249
49,187.439911,262.603180
50,188.810989,263.579529
51,190.069000,264.905518
52,191.684189,267.328430
53,196.135010,267.826630
54,200.691864,269.450287
55,205.428986,270.637909
56,211.150528,270.884186
57,217.115860,268.944672
58,222.579620,266.471954
59,228.171906,265.931274
60,232.362473,265.305634
61,235.911880,264.370514
62,239.625229,263.054871
63,243.539108,262.417694
64,246.911530,263.827515
65,249.754822,267.060974
72,252.893173,269.966400
73,255.925247,271.818054
74,258.714691,273.451447
75,260.830780,276.061707
84,263.080383,279.319916
85,264.940704,282.344421
90,270.919189,284.287872
91,276.956085,286.286377
92,282.049103,288.111542
93,286.535706,289.835144
94,292.236725,292.955292
95,299.496277,298.272278
102,306.299286,300.640015
103,312.890900,302.350403
104,319.543213,304.296661
105,326.614105,307.261475
106,332.548920,310.352295
107,337.543365,314.028351
108,342.265106,318.688446
126,349.400146,321.312042
127,356.076019,323.239288
128,361.925842,324.943024
129,367.032227,327.192596
130,371.899261,329.510284
131,376.700348,331.207031
132,381.814087,332.298920
133,386.702515,334.388611
134,391.919220,336.894958
135,397.432953,339.247955
136,402.826019,341.731903
137,407.621033,344.078033
138,412.027283,346.777435
139,416.489288,349.743378
140,421.220001,352.607422
141,425.934692,355.041351
142,430.013275,356.918274
143,426.610687,353.269684
168,425.175018,354.027496
169,426.914856,354.861877
170,429.042786,356.000641
171,426.396912,353.592316
172,421.194611,354.736328
173,423.819489,356.746124
174,425.284180,357.767670
175,426.458710,358.540527
176,427.937500,359.561127
177,430.010254,361.069611
